CNESource,Codigo,Nombre,Categoria,Tecnologia,Estado,FechaInst,FechaSusp,Altitud,LatDD,LongDD,Depto,Municipio,AreaOperat,Entidad,AH,ZH,SZH,Corriente,Observ,Subred
CNE_OE,35067240,BRAZO DERECHO  [35067240],Limnimétrica,Convencional,Activa,15/04/1987,,3100,"4.733333333","-73.75",Cundinamarca,Junín,Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guavio,Chorreras,,
CNE_OE,35067250,COTA 2950  [35067250],Limnimétrica,Convencional,Activa,15/04/1987,,2950,"4.7166666670000001","-73.75",Cundinamarca,Junín,Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guavio,Chorreras,,
CNE_OE,35067260,HACIENDA LA  [35067260],Limnimétrica,Convencional,Activa,15/09/1994,,2650,"4.7","-73.75",Cundinamarca,Junín,Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guavio,QUEBRADA SANTA BARBARA,,
CNE_OE,35067270,PTE CARRETER C2620  [35067270],Limnimétrica,Convencional,Activa,15/09/1994,,2620,"4.5999999999999996","-73.683333329999996",Cundinamarca,Junín,Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guavio,QUEBRADA SANTA BARBARA,,
CNE_OE,35067280,SANTA BARBARA  [35067280],Limnimétrica,Convencional,Activa,15/09/1994,,2620,"4.6666666670000003","-73.683333329999996",Cundinamarca,Junín,Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guavio,QUEBRADA SANTA BARBARA,,
CNE_OE,35067290,BONILLA  [35067290],Limnimétrica,Convencional,Activa,15/09/1994,,2610,"4.6333333330000004","-73.683333329999996",Cundinamarca,Junín,Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guavio,QUEBRADA SANTA BARBARA,,
CNE_OE,35067300,PEÑON EL  [35067300],Limnimétrica,Convencional,Activa,15/02/1991,,2800,"4.8","-73.783333330000005",Cundinamarca,Guatavita,Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guavio,Juiquin,,
CNE_OE,35067310,DESEMBOCADURA  [35067310],Limnimétrica,Convencional,Activa,15/01/1994,,2740,"4.8","-73.783333330000005",Cundinamarca,Guasca,Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guavio,QUEBRADA LA PALMA,,
CNE_OE,35067320,PTE ARENAL  [35067320],Limnimétrica,Convencional,Activa,15/09/1994,,2800,"4.7833333329999999","-73.766666670000006",Cundinamarca,Guasca,Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guavio,QUEBRADA PUNTILLERAL,,
CNE_OE,35070160,SCRIA AGRICULTURA  [35070160],Pluviométrica,Convencional,Activa,15/11/1953,,1800,"5.0666666669999998","-73.616666670000001",Cundinamarca,Machetá,Area Operativa 11 - Cundinamarca-Amazonas,FEDERACIÓN NACIONAL DE CAFETEROS,Orinoco,Meta,Río Garagoa,,,
CNE_OE,35070240,SALITRE  [35070240],Pluviométrica,Convencional,Suspendida,15/08/1929,15/10/1954,2000,"5.0333333329999999","-73.55",Boyacá,Guateque,Area Operativa 06 - Boyacá-Casanare-Vichada,MINISTERIO DE AGRICULTURA,Orinoco,Meta,Río Garagoa,,,
CNE_OE,35070270,CAPILLA DE TENZA  [35070270],Pluviográfica,Convencional,Suspendida,15/04/1938,15/10/1938,1500,"5.0833333329999997","-73.45",Boyacá,Tenza,Area Operativa 06 - Boyacá-Casanare-Vichada,ESTACIONES PARTICULARES,Orinoco,Meta,Río Garagoa,,,
CNE_OE,35070390,TIBIRITA  [35070390],Pluviométrica,Convencional,Suspendida,15/05/1955,15/03/1965,1670,"5.0999999999999996","-73.533333330000005",Cundinamarca,Machetá,Area Operativa 11 - Cundinamarca-Amazonas,INSTITUTO COLOMBIANO DE ENERGÍA ELÉCTRICA (ELECTRAGUAS),Orinoco,Meta,Río Garagoa,,,
CNE_OE,35070410,SUTATENZA  [35070410],Pluviométrica,Convencional,Suspendida,15/01/1955,15/12/1969,1850,"5.016666667","-73.45",Boyacá,Sutatenza,Area Operativa 06 - Boyacá-Casanare-Vichada,INSTITUTO COLOMBIANO DE ENERGÍA ELÉCTRICA (ELECTRAGUAS),Orinoco,Meta,Río Garagoa,,,
CNE_OE,35070420,VIVERO  [35070420],Pluviométrica,Convencional,Suspendida,15/03/1945,15/11/1946,1900,"5.0333333329999999","-73.400000000000006",Boyacá,Sutatenza,Area Operativa 06 - Boyacá-Casanare-Vichada,MINISTERIO DE AGRICULTURA,Orinoco,Meta,Río Garagoa,,,
